range,row,vigor_2020,anthracnose_2020,anthracnose_2021,leaf_hgt_2020
3,49,4.875,2,2.125,160.75
3,50,4.125,1.75,1.75,159.75
3,51,4.75,2,2.25,164.25
3,52,4.875,2,1.375,148.5
3,53,5,2,2.142857142857143,165.42857142857142
3,54,5,2.125,1.75,157.375
3,55,5,2,3.375,107.5
3,56,5,2,1.375,121.25
3,57,5,2.25,2,122
3,58,5,2,2.375,116.5
3,59,4.75,2,2.75,104.625
3,60,4.875,2,2.375,108.75
3,61,5,2,2.25,131.875
4,1,4.625,2.25,1.875,157.5
4,2,4.875,2.375,2.25,159.25
4,3,4.875,2.375,2,172.875
4,4,5,2.625,1.625,156.75
4,5,5,2.5,3.5,136.25
4,6,5,2.25,2.125,151.625
4,7,5,2.25,1.375,184.625
4,8,5,2,1.25,169.5
4,9,4.625,2,1.5,159.625
4,10,5,2,1,177.5
4,11,5,2.25,2.25,188.125
4,12,4.875,2.125,1.5,179
4,13,5,2.25,2.375,189
4,14,5,1.875,1.5,182.25
4,15,5,2.125,2.375,159.125
4,16,5,2.125,2.25,176
4,17,5,1.875,2.625,124.625
4,18,5,2,2.125,138.875
4,19,5,2.125,2.625,153.5
4,20,5,2,1.625,151.875
4,21,5,2,2.75,137.75
4,22,5,2,1.75,183.125
4,23,5,2,2.375,147.75
4,24,5,2,1.875,149.25
4,25,5,2,2,174.125
4,26,4.875,2.25,2,174.375
4,27,4.875,2,2.625,127.25
4,28,4.875,2.125,2.125,139.25
4,29,4.75,2.125,1.875,168.75
4,30,5,2,2.5,132.375
4,31,4.875,2,1.625,168.875
4,32,4.875,2.125,1.75,187.625
4,33,5,2,1.75,174
4,34,5,2,1.875,163.25
4,35,5,2,3,128.75
4,36,4.75,2,2.75,118.75
4,37,5,2.125,2,165.375
4,38,4.142857142857143,2,2.857142857142857,117.57142857142857
4,39,4.75,2.125,2.125,163.625
4,40,4.125,2,1.75,152.25
4,41,5,2,2.875,119.25
4,42,4.75,2,2.875,119.125
4,43,4.5,1.875,2.5,166.875
4,44,5,2.2857142857142856,2.142857142857143,121.85714285714286
4,45,5,2,1.25,133.75
4,46,5,2,2.75,108.5
4,47,4.571428571428571,2,2.857142857142857,162.14285714285714
4,48,5,2,2,154.875
4,49,5,2,1.625,133
