blk,old_plant_no,ecotype,rep,row,rng,hs
MUB,29,UL,3,14,7,74
MLB,7,LL,3,14,8,142
PLB,8,LL,3,14,9,98
MLB,15,LL,4,14,10,150
PLB,19,LL,4,14,11,109
PLB,10,LL,4,14,12,100
PLB,5,LL,1,15,1,95
MUB,11,UL,1,15,2,56
PLB,25,LL,1,15,3,115
MUB,14,UL,2,15,4,59
MUB,27,UL,2,15,5,72
MLB,26,LL,2,15,6,161
PLB,31,LL,3,15,7,121
MLB,20,LL,3,15,8,155
PUB,5,UL,3,15,9,5
PUB,17,UL,4,15,10,17
MUB,16,UL,4,15,11,61
MUB,26,UL,4,15,12,71
PLB,40,LL,1,16,1,130
MLB,26,LL,1,16,2,161
PLB,38,LL,1,16,3,128
PLB,33,LL,2,16,4,123
MLB,35,LL,2,16,5,170
MLB,45,LL,2,16,6,180
MUB,26,UL,3,16,7,71
PLB,27,LL,3,16,8,117
MUB,41,UL,3,16,9,86
PUB,32,UL,4,16,10,32
MLB,33,LL,4,16,11,168
PLB,4,LL,4,16,12,94
MUB,9,UL,1,17,1,54
PLB,32,LL,1,17,2,122
PUB,17,UL,1,17,3,17
PUB,8,UL,2,17,4,8
PUB,7,UL,2,17,5,7
MUB,11,UL,2,17,6,56
MLB,36,LL,3,17,7,171
PUB,31,UL,3,17,8,31
MLB,34,LL,3,17,9,169
MLB,45,LL,4,17,10,180
MUB,30,UL,4,17,11,75
MUB,12,UL,4,17,12,57
MUB,25,UL,1,18,1,70
MLB,28,LL,1,18,2,163
PUB,13,UL,1,18,3,13
MUB,9,UL,2,18,4,54
MUB,10,UL,2,18,5,55
MUB,16,UL,2,18,6,61
PLB,41,LL,3,18,7,131
MUB,45,UL,3,18,8,90
MUB,13,UL,3,18,9,58
MUB,18,UL,4,18,10,63
MUB,27,UL,4,18,11,72
MUB,11,UL,4,18,12,56
PUB,34,UL,1,19,1,34
PUB,27,UL,1,19,2,27
MLB,40,LL,1,19,3,175
MLB,3,LL,2,19,4,138
PUB,23,UL,2,19,5,23
PUB,2,UL,2,19,6,2
MLB,37,LL,3,19,7,172
PUB,11,UL,3,19,8,11
PUB,3,UL,3,19,9,3
PLB,13,LL,4,19,10,103
PLB,17,LL,4,19,11,107
MLB,31,LL,4,19,12,166
MUB,6,UL,1,20,1,51
MLB,9,LL,1,20,2,144
PUB,23,UL,1,20,3,23
MUB,39,UL,2,20,4,84
PUB,26,UL,2,20,5,26
PUB,24,UL,2,20,6,24
MLB,15,LL,3,20,7,150
PUB,1,UL,3,20,8,1
MLB,18,LL,3,20,9,153
MLB,5,LL,4,20,10,140
MUB,43,UL,4,20,11,88
PLB,18,LL,4,20,12,108
MLB,33,LL,1,21,1,168
PUB,16,UL,1,21,2,16
MLB,44,LL,1,21,3,179
MUB,1,UL,2,21,4,46
PLB,44,LL,2,21,5,134
MUB,21,UL,2,21,6,66
